,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
0,info,team,Australia,,,,,,,,,Australia_India,2016/01/17
1,info,team,India,,,,,,,,,Australia_India,2016/01/17
2,info,gender,male,,,,,,,,,Australia_India,2016/01/17
3,info,season,2015/16,,,,,,,,,Australia_India,2016/01/17
4,info,date,2016/01/17,,,,,,,,,Australia_India,2016/01/17
5,info,series,India in Australia ODI Series,,,,,,,,,Australia_India,2016/01/17
6,info,match_number,3,,,,,,,,,Australia_India,2016/01/17
7,info,venue,Melbourne Cricket Ground,,,,,,,,,Australia_India,2016/01/17
8,info,city,,,,,,,,,,Australia_India,2016/01/17
9,info,toss_winner,Australia,,,,,,,,,Australia_India,2016/01/17
10,info,toss_decision,field,,,,,,,,,Australia_India,2016/01/17
11,info,player_of_match,GJ Maxwell,,,,,,,,,Australia_India,2016/01/17
12,info,umpire,SD Fry,,,,,,,,,Australia_India,2016/01/17
13,info,umpire,RA Kettleborough,,,,,,,,,Australia_India,2016/01/17
14,info,reserve_umpire,AJ Barrow,,,,,,,,,Australia_India,2016/01/17
15,info,tv_umpire,MD Martell,,,,,,,,,Australia_India,2016/01/17
16,info,match_referee,JJ Crowe,,,,,,,,,Australia_India,2016/01/17
17,info,winner,Australia,,,,,,,,,Australia_India,2016/01/17
18,info,winner_wickets,3,,,,,,,,,Australia_India,2016/01/17
