,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
0,info,team,India,,,,,,,,,India_Australia,2013/10/23
1,info,team,Australia,,,,,,,,,India_Australia,2013/10/23
2,info,gender,male,,,,,,,,,India_Australia,2013/10/23
3,info,season,2013/14,,,,,,,,,India_Australia,2013/10/23
4,info,date,2013/10/23,,,,,,,,,India_Australia,2013/10/23
5,info,series,Australia in India ODI Series,,,,,,,,,India_Australia,2013/10/23
6,info,match_number,4,,,,,,,,,India_Australia,2013/10/23
7,info,venue,JSCA International Stadium Complex,,,,,,,,,India_Australia,2013/10/23
8,info,city,Ranchi,,,,,,,,,India_Australia,2013/10/23
9,info,toss_winner,India,,,,,,,,,India_Australia,2013/10/23
10,info,toss_decision,field,,,,,,,,,India_Australia,2013/10/23
11,info,umpire,RA Kettleborough,,,,,,,,,India_Australia,2013/10/23
12,info,umpire,VA Kulkarni,,,,,,,,,India_Australia,2013/10/23
13,info,reserve_umpire,VK Sharma,,,,,,,,,India_Australia,2013/10/23
14,info,tv_umpire,AK Chaudhary,,,,,,,,,India_Australia,2013/10/23
15,info,match_referee,RS Mahanama,,,,,,,,,India_Australia,2013/10/23
16,info,outcome,no result,,,,,,,,,India_Australia,2013/10/23
