,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,AJ Finch,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
20,ball,1,0.2,Australia,AJ Finch,DA Warner,I Sharma,2.0,0.0,,,Australia_India,2016/01/23
21,ball,1,0.3,Australia,AJ Finch,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
22,ball,1,0.4,Australia,AJ Finch,DA Warner,I Sharma,4.0,0.0,,,Australia_India,2016/01/23
23,ball,1,0.5,Australia,AJ Finch,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
24,ball,1,0.6,Australia,AJ Finch,DA Warner,I Sharma,0.0,0.0,lbw,AJ Finch,Australia_India,2016/01/23
25,ball,1,1.1,Australia,DA Warner,SPD Smith,UT Yadav,2.0,0.0,,,Australia_India,2016/01/23
26,ball,1,1.2,Australia,DA Warner,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
27,ball,1,1.3,Australia,DA Warner,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
28,ball,1,1.4,Australia,DA Warner,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
29,ball,1,1.5,Australia,DA Warner,SPD Smith,UT Yadav,4.0,0.0,,,Australia_India,2016/01/23
30,ball,1,1.6,Australia,DA Warner,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
31,ball,1,2.1,Australia,SPD Smith,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
32,ball,1,2.2,Australia,SPD Smith,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
33,ball,1,2.3,Australia,SPD Smith,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
34,ball,1,2.4,Australia,SPD Smith,DA Warner,I Sharma,1.0,0.0,,,Australia_India,2016/01/23
35,ball,1,2.5,Australia,DA Warner,SPD Smith,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
36,ball,1,2.6,Australia,DA Warner,SPD Smith,I Sharma,0.0,1.0,,,Australia_India,2016/01/23
37,ball,1,3.1,Australia,DA Warner,SPD Smith,UT Yadav,3.0,0.0,,,Australia_India,2016/01/23
38,ball,1,3.2,Australia,SPD Smith,DA Warner,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
39,ball,1,3.3,Australia,SPD Smith,DA Warner,UT Yadav,0.0,1.0,,,Australia_India,2016/01/23
40,ball,1,3.4,Australia,SPD Smith,DA Warner,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
41,ball,1,3.5,Australia,SPD Smith,DA Warner,UT Yadav,1.0,0.0,,,Australia_India,2016/01/23
42,ball,1,3.6,Australia,DA Warner,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2016/01/23
43,ball,1,3.7,Australia,DA Warner,SPD Smith,UT Yadav,4.0,0.0,,,Australia_India,2016/01/23
44,ball,1,4.1,Australia,SPD Smith,DA Warner,I Sharma,1.0,0.0,,,Australia_India,2016/01/23
45,ball,1,4.2,Australia,DA Warner,SPD Smith,I Sharma,1.0,0.0,,,Australia_India,2016/01/23
46,ball,1,4.3,Australia,SPD Smith,DA Warner,I Sharma,0.0,0.0,,,Australia_India,2016/01/23
47,ball,1,4.4,Australia,SPD Smith,DA Warner,I Sharma,3.0,0.0,,,Australia_India,2016/01/23
