,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
20,ball,1,0.1,Australia,MS Wade,DA Warner,P Kumar,1.0,0.0,,,Australia_India,2012/02/05
21,ball,1,0.2,Australia,DA Warner,MS Wade,P Kumar,0.0,1.0,,,Australia_India,2012/02/05
22,ball,1,0.3,Australia,DA Warner,MS Wade,P Kumar,1.0,0.0,,,Australia_India,2012/02/05
23,ball,1,0.4,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
24,ball,1,0.5,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
25,ball,1,0.6,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
26,ball,1,0.7,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
27,ball,1,1.1,Australia,DA Warner,MS Wade,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
28,ball,1,1.2,Australia,DA Warner,MS Wade,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
29,ball,1,1.3,Australia,DA Warner,MS Wade,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
30,ball,1,1.4,Australia,DA Warner,MS Wade,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/05
31,ball,1,1.5,Australia,MS Wade,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
32,ball,1,1.6,Australia,MS Wade,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
33,ball,1,2.1,Australia,DA Warner,MS Wade,P Kumar,3.0,0.0,,,Australia_India,2012/02/05
34,ball,1,2.2,Australia,MS Wade,DA Warner,P Kumar,1.0,0.0,,,Australia_India,2012/02/05
35,ball,1,2.3,Australia,DA Warner,MS Wade,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
36,ball,1,2.4,Australia,DA Warner,MS Wade,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
37,ball,1,2.5,Australia,DA Warner,MS Wade,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
38,ball,1,2.6,Australia,DA Warner,MS Wade,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
39,ball,1,3.1,Australia,MS Wade,DA Warner,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/05
40,ball,1,3.2,Australia,DA Warner,MS Wade,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
41,ball,1,3.3,Australia,DA Warner,MS Wade,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/05
42,ball,1,3.4,Australia,MS Wade,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
43,ball,1,3.5,Australia,MS Wade,DA Warner,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/05
44,ball,1,3.6,Australia,DA Warner,MS Wade,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/05
45,ball,1,4.1,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
46,ball,1,4.2,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
47,ball,1,4.3,Australia,MS Wade,DA Warner,P Kumar,4.0,0.0,,,Australia_India,2012/02/05
48,ball,1,4.4,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
49,ball,1,4.5,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
50,ball,1,4.6,Australia,MS Wade,DA Warner,P Kumar,0.0,0.0,,,Australia_India,2012/02/05
