,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
17,ball,1,0.1,Australia,AJ Finch,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
18,ball,1,0.2,Australia,AJ Finch,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
19,ball,1,0.3,Australia,AJ Finch,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
20,ball,1,0.4,Australia,AJ Finch,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
21,ball,1,0.5,Australia,AJ Finch,PJ Hughes,JD Unadkat,1.0,0.0,,,India_Australia,2013/10/23
22,ball,1,0.6,Australia,PJ Hughes,AJ Finch,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
23,ball,1,1.1,Australia,AJ Finch,PJ Hughes,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
24,ball,1,1.2,Australia,AJ Finch,PJ Hughes,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
25,ball,1,1.3,Australia,AJ Finch,PJ Hughes,Mohammed Shami,4.0,0.0,,,India_Australia,2013/10/23
26,ball,1,1.4,Australia,AJ Finch,PJ Hughes,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
27,ball,1,1.5,Australia,AJ Finch,PJ Hughes,Mohammed Shami,0.0,0.0,bowled,AJ Finch,India_Australia,2013/10/23
28,ball,1,1.6,Australia,SR Watson,PJ Hughes,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
29,ball,1,2.1,Australia,PJ Hughes,SR Watson,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
30,ball,1,2.2,Australia,PJ Hughes,SR Watson,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
31,ball,1,2.3,Australia,PJ Hughes,SR Watson,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
32,ball,1,2.4,Australia,PJ Hughes,SR Watson,JD Unadkat,1.0,0.0,,,India_Australia,2013/10/23
33,ball,1,2.5,Australia,SR Watson,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
34,ball,1,2.6,Australia,SR Watson,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
35,ball,1,3.1,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
36,ball,1,3.2,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
37,ball,1,3.3,Australia,PJ Hughes,SR Watson,Mohammed Shami,2.0,0.0,,,India_Australia,2013/10/23
38,ball,1,3.4,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
39,ball,1,3.5,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
40,ball,1,3.6,Australia,PJ Hughes,SR Watson,Mohammed Shami,1.0,0.0,,,India_Australia,2013/10/23
41,ball,1,4.1,Australia,PJ Hughes,SR Watson,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
42,ball,1,4.2,Australia,PJ Hughes,SR Watson,JD Unadkat,1.0,0.0,,,India_Australia,2013/10/23
43,ball,1,4.3,Australia,SR Watson,PJ Hughes,JD Unadkat,4.0,0.0,,,India_Australia,2013/10/23
44,ball,1,4.4,Australia,SR Watson,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
45,ball,1,4.5,Australia,SR Watson,PJ Hughes,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
46,ball,1,4.6,Australia,SR Watson,PJ Hughes,JD Unadkat,4.0,0.0,,,India_Australia,2013/10/23
47,ball,1,5.1,Australia,PJ Hughes,SR Watson,Mohammed Shami,2.0,0.0,,,India_Australia,2013/10/23
48,ball,1,5.2,Australia,PJ Hughes,SR Watson,Mohammed Shami,4.0,0.0,,,India_Australia,2013/10/23
49,ball,1,5.3,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
50,ball,1,5.4,Australia,PJ Hughes,SR Watson,Mohammed Shami,0.0,0.0,caught,PJ Hughes,India_Australia,2013/10/23
51,ball,1,5.5,Australia,GJ Bailey,SR Watson,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
52,ball,1,5.6,Australia,GJ Bailey,SR Watson,Mohammed Shami,0.0,2.0,,,India_Australia,2013/10/23
53,ball,1,5.7,Australia,SR Watson,GJ Bailey,Mohammed Shami,1.0,0.0,,,India_Australia,2013/10/23
54,ball,1,6.1,Australia,SR Watson,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
55,ball,1,6.2,Australia,SR Watson,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
56,ball,1,6.3,Australia,SR Watson,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
57,ball,1,6.4,Australia,SR Watson,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
58,ball,1,6.5,Australia,SR Watson,GJ Bailey,JD Unadkat,1.0,0.0,,,India_Australia,2013/10/23
59,ball,1,6.6,Australia,GJ Bailey,SR Watson,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
60,ball,1,7.1,Australia,SR Watson,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
61,ball,1,7.2,Australia,SR Watson,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
62,ball,1,7.3,Australia,SR Watson,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
63,ball,1,7.4,Australia,SR Watson,GJ Bailey,Mohammed Shami,4.0,0.0,,,India_Australia,2013/10/23
64,ball,1,7.5,Australia,SR Watson,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
65,ball,1,7.6,Australia,SR Watson,GJ Bailey,Mohammed Shami,0.0,0.0,bowled,SR Watson,India_Australia,2013/10/23
66,ball,1,8.1,Australia,GJ Bailey,AC Voges,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
67,ball,1,8.2,Australia,GJ Bailey,AC Voges,JD Unadkat,2.0,0.0,,,India_Australia,2013/10/23
68,ball,1,8.3,Australia,GJ Bailey,AC Voges,JD Unadkat,1.0,0.0,,,India_Australia,2013/10/23
69,ball,1,8.4,Australia,AC Voges,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
70,ball,1,8.5,Australia,AC Voges,GJ Bailey,JD Unadkat,0.0,0.0,,,India_Australia,2013/10/23
71,ball,1,8.6,Australia,AC Voges,GJ Bailey,JD Unadkat,4.0,0.0,,,India_Australia,2013/10/23
72,ball,1,9.1,Australia,GJ Bailey,AC Voges,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
73,ball,1,9.2,Australia,GJ Bailey,AC Voges,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
74,ball,1,9.3,Australia,GJ Bailey,AC Voges,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
75,ball,1,9.4,Australia,GJ Bailey,AC Voges,Mohammed Shami,1.0,0.0,,,India_Australia,2013/10/23
76,ball,1,9.5,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
77,ball,1,9.6,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
78,ball,1,10.1,Australia,GJ Bailey,AC Voges,R Vinay Kumar,4.0,0.0,,,India_Australia,2013/10/23
79,ball,1,10.2,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
80,ball,1,10.3,Australia,GJ Bailey,AC Voges,R Vinay Kumar,4.0,0.0,,,India_Australia,2013/10/23
81,ball,1,10.4,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
82,ball,1,10.5,Australia,GJ Bailey,AC Voges,R Vinay Kumar,6.0,0.0,,,India_Australia,2013/10/23
83,ball,1,10.6,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
84,ball,1,11.1,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
85,ball,1,11.2,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,4.0,,,India_Australia,2013/10/23
86,ball,1,11.3,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
87,ball,1,11.4,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
88,ball,1,11.5,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
89,ball,1,11.6,Australia,AC Voges,GJ Bailey,Mohammed Shami,0.0,0.0,,,India_Australia,2013/10/23
90,ball,1,12.1,Australia,GJ Bailey,AC Voges,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
91,ball,1,12.2,Australia,AC Voges,GJ Bailey,R Ashwin,0.0,0.0,,,India_Australia,2013/10/23
92,ball,1,12.3,Australia,AC Voges,GJ Bailey,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
93,ball,1,12.4,Australia,GJ Bailey,AC Voges,R Ashwin,2.0,0.0,,,India_Australia,2013/10/23
94,ball,1,12.5,Australia,GJ Bailey,AC Voges,R Ashwin,2.0,0.0,,,India_Australia,2013/10/23
95,ball,1,12.6,Australia,GJ Bailey,AC Voges,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
96,ball,1,13.1,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
97,ball,1,13.2,Australia,GJ Bailey,AC Voges,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/23
98,ball,1,13.3,Australia,AC Voges,GJ Bailey,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/23
99,ball,1,13.4,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
100,ball,1,13.5,Australia,GJ Bailey,AC Voges,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
101,ball,1,13.6,Australia,GJ Bailey,AC Voges,R Vinay Kumar,2.0,0.0,,,India_Australia,2013/10/23
102,ball,1,14.1,Australia,AC Voges,GJ Bailey,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
103,ball,1,14.2,Australia,GJ Bailey,AC Voges,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
104,ball,1,14.3,Australia,AC Voges,GJ Bailey,R Ashwin,0.0,0.0,lbw,AC Voges,India_Australia,2013/10/23
105,ball,1,14.4,Australia,GJ Maxwell,GJ Bailey,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
106,ball,1,14.5,Australia,GJ Bailey,GJ Maxwell,R Ashwin,0.0,0.0,,,India_Australia,2013/10/23
107,ball,1,14.6,Australia,GJ Bailey,GJ Maxwell,R Ashwin,1.0,0.0,,,India_Australia,2013/10/23
108,ball,1,15.1,Australia,GJ Bailey,GJ Maxwell,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/23
109,ball,1,15.2,Australia,GJ Maxwell,GJ Bailey,R Vinay Kumar,2.0,0.0,,,India_Australia,2013/10/23
110,ball,1,15.3,Australia,GJ Maxwell,GJ Bailey,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/23
