,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
20,ball,1,0.2,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,1.0,,,India_Australia,2013/10/13
21,ball,1,0.3,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
22,ball,1,0.4,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
23,ball,1,0.5,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
24,ball,1,0.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
25,ball,1,1.1,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/13
26,ball,1,1.2,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
27,ball,1,1.3,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
28,ball,1,1.4,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
29,ball,1,1.5,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
30,ball,1,1.6,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/13
31,ball,1,2.1,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
32,ball,1,2.2,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
33,ball,1,2.3,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
34,ball,1,2.4,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
35,ball,1,2.5,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
36,ball,1,2.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
37,ball,1,3.1,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
38,ball,1,3.2,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,3.0,0.0,,,India_Australia,2013/10/13
39,ball,1,3.3,Australia,AJ Finch,PJ Hughes,R Vinay Kumar,1.0,0.0,,,India_Australia,2013/10/13
40,ball,1,3.4,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,4.0,0.0,,,India_Australia,2013/10/13
41,ball,1,3.5,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
42,ball,1,3.6,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
43,ball,1,4.1,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,1.0,,,India_Australia,2013/10/13
44,ball,1,4.2,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
45,ball,1,4.3,Australia,PJ Hughes,AJ Finch,B Kumar,1.0,0.0,,,India_Australia,2013/10/13
46,ball,1,4.4,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
47,ball,1,4.5,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
48,ball,1,4.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
49,ball,1,5.1,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
50,ball,1,5.2,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
51,ball,1,5.3,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
52,ball,1,5.4,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
53,ball,1,5.5,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
54,ball,1,5.6,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,1.0,,,India_Australia,2013/10/13
55,ball,1,6.1,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
56,ball,1,6.2,Australia,PJ Hughes,AJ Finch,B Kumar,1.0,0.0,,,India_Australia,2013/10/13
57,ball,1,6.3,Australia,AJ Finch,PJ Hughes,B Kumar,6.0,0.0,,,India_Australia,2013/10/13
58,ball,1,6.4,Australia,AJ Finch,PJ Hughes,B Kumar,4.0,0.0,,,India_Australia,2013/10/13
59,ball,1,6.5,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
60,ball,1,6.6,Australia,AJ Finch,PJ Hughes,B Kumar,4.0,0.0,,,India_Australia,2013/10/13
61,ball,1,7.1,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
62,ball,1,7.2,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
63,ball,1,7.3,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,4.0,0.0,,,India_Australia,2013/10/13
64,ball,1,7.4,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
65,ball,1,7.5,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,0.0,0.0,,,India_Australia,2013/10/13
66,ball,1,7.6,Australia,PJ Hughes,AJ Finch,R Vinay Kumar,4.0,0.0,,,India_Australia,2013/10/13
67,ball,1,8.1,Australia,AJ Finch,PJ Hughes,B Kumar,1.0,0.0,,,India_Australia,2013/10/13
68,ball,1,8.2,Australia,PJ Hughes,AJ Finch,B Kumar,4.0,0.0,,,India_Australia,2013/10/13
69,ball,1,8.3,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
70,ball,1,8.4,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
71,ball,1,8.5,Australia,PJ Hughes,AJ Finch,B Kumar,1.0,0.0,,,India_Australia,2013/10/13
72,ball,1,8.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/13
73,ball,1,9.1,Australia,PJ Hughes,AJ Finch,I Sharma,4.0,0.0,,,India_Australia,2013/10/13
74,ball,1,9.2,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
75,ball,1,9.3,Australia,PJ Hughes,AJ Finch,I Sharma,2.0,0.0,,,India_Australia,2013/10/13
76,ball,1,9.4,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
77,ball,1,9.5,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
78,ball,1,9.6,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
79,ball,1,10.1,Australia,PJ Hughes,AJ Finch,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
80,ball,1,10.2,Australia,PJ Hughes,AJ Finch,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
81,ball,1,10.3,Australia,PJ Hughes,AJ Finch,R Ashwin,1.0,0.0,,,India_Australia,2013/10/13
82,ball,1,10.4,Australia,AJ Finch,PJ Hughes,R Ashwin,1.0,0.0,,,India_Australia,2013/10/13
83,ball,1,10.5,Australia,PJ Hughes,AJ Finch,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
84,ball,1,10.6,Australia,PJ Hughes,AJ Finch,R Ashwin,1.0,0.0,,,India_Australia,2013/10/13
85,ball,1,11.1,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
86,ball,1,11.2,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
87,ball,1,11.3,Australia,AJ Finch,PJ Hughes,I Sharma,4.0,0.0,,,India_Australia,2013/10/13
88,ball,1,11.4,Australia,AJ Finch,PJ Hughes,I Sharma,4.0,0.0,,,India_Australia,2013/10/13
89,ball,1,11.5,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
90,ball,1,11.6,Australia,AJ Finch,PJ Hughes,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
91,ball,1,12.1,Australia,AJ Finch,PJ Hughes,R Ashwin,6.0,0.0,,,India_Australia,2013/10/13
92,ball,1,12.2,Australia,AJ Finch,PJ Hughes,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
93,ball,1,12.3,Australia,AJ Finch,PJ Hughes,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
94,ball,1,12.4,Australia,AJ Finch,PJ Hughes,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
95,ball,1,12.5,Australia,AJ Finch,PJ Hughes,R Ashwin,4.0,0.0,,,India_Australia,2013/10/13
96,ball,1,12.6,Australia,AJ Finch,PJ Hughes,R Ashwin,0.0,0.0,,,India_Australia,2013/10/13
97,ball,1,13.1,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
98,ball,1,13.2,Australia,AJ Finch,PJ Hughes,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
99,ball,1,13.3,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
100,ball,1,13.4,Australia,PJ Hughes,AJ Finch,I Sharma,2.0,0.0,,,India_Australia,2013/10/13
101,ball,1,13.5,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
102,ball,1,13.6,Australia,PJ Hughes,AJ Finch,I Sharma,2.0,0.0,,,India_Australia,2013/10/13
103,ball,1,14.1,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
104,ball,1,14.2,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
105,ball,1,14.3,Australia,AJ Finch,PJ Hughes,RA Jadeja,4.0,0.0,,,India_Australia,2013/10/13
106,ball,1,14.4,Australia,AJ Finch,PJ Hughes,RA Jadeja,1.0,0.0,,,India_Australia,2013/10/13
107,ball,1,14.5,Australia,PJ Hughes,AJ Finch,RA Jadeja,1.0,0.0,,,India_Australia,2013/10/13
108,ball,1,14.6,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
109,ball,1,15.1,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
110,ball,1,15.2,Australia,AJ Finch,PJ Hughes,I Sharma,4.0,0.0,,,India_Australia,2013/10/13
111,ball,1,15.3,Australia,AJ Finch,PJ Hughes,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
112,ball,1,15.4,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/13
113,ball,1,15.5,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
114,ball,1,15.6,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,0.0,,,India_Australia,2013/10/13
115,ball,1,16.1,Australia,PJ Hughes,AJ Finch,RA Jadeja,1.0,0.0,,,India_Australia,2013/10/13
116,ball,1,16.2,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
117,ball,1,16.3,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
118,ball,1,16.4,Australia,AJ Finch,PJ Hughes,RA Jadeja,0.0,0.0,,,India_Australia,2013/10/13
119,ball,1,16.5,Australia,AJ Finch,PJ Hughes,RA Jadeja,1.0,0.0,,,India_Australia,2013/10/13
120,ball,1,16.6,Australia,PJ Hughes,AJ Finch,RA Jadeja,2.0,0.0,,,India_Australia,2013/10/13
121,ball,1,17.1,Australia,AJ Finch,PJ Hughes,V Kohli,4.0,0.0,,,India_Australia,2013/10/13
122,ball,1,17.2,Australia,AJ Finch,PJ Hughes,V Kohli,1.0,0.0,,,India_Australia,2013/10/13
123,ball,1,17.3,Australia,PJ Hughes,AJ Finch,V Kohli,0.0,0.0,,,India_Australia,2013/10/13
124,ball,1,17.4,Australia,PJ Hughes,AJ Finch,V Kohli,1.0,0.0,,,India_Australia,2013/10/13
125,ball,1,17.5,Australia,AJ Finch,PJ Hughes,V Kohli,6.0,0.0,,,India_Australia,2013/10/13
