,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
18,ball,1,0.1,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
19,ball,1,0.2,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
20,ball,1,0.3,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,1.0,,,Australia_India,2015/03/26
21,ball,1,0.4,Australia,DA Warner,AJ Finch,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
22,ball,1,0.5,Australia,DA Warner,AJ Finch,Mohammed Shami,1.0,0.0,,,Australia_India,2015/03/26
23,ball,1,0.6,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
24,ball,1,1.1,Australia,DA Warner,AJ Finch,UT Yadav,4.0,0.0,,,Australia_India,2015/03/26
25,ball,1,1.2,Australia,DA Warner,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
26,ball,1,1.3,Australia,DA Warner,AJ Finch,UT Yadav,1.0,0.0,,,Australia_India,2015/03/26
27,ball,1,1.4,Australia,AJ Finch,DA Warner,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
28,ball,1,1.5,Australia,AJ Finch,DA Warner,UT Yadav,1.0,0.0,,,Australia_India,2015/03/26
29,ball,1,1.6,Australia,DA Warner,AJ Finch,UT Yadav,6.0,0.0,,,Australia_India,2015/03/26
30,ball,1,2.1,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,1.0,,,Australia_India,2015/03/26
31,ball,1,2.2,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
32,ball,1,2.3,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
33,ball,1,2.4,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
34,ball,1,2.5,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
35,ball,1,2.6,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
36,ball,1,2.7,Australia,AJ Finch,DA Warner,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
37,ball,1,3.1,Australia,DA Warner,AJ Finch,UT Yadav,0.0,0.0,caught,DA Warner,Australia_India,2015/03/26
38,ball,1,3.2,Australia,SPD Smith,AJ Finch,UT Yadav,2.0,0.0,,,Australia_India,2015/03/26
39,ball,1,3.3,Australia,SPD Smith,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
40,ball,1,3.4,Australia,SPD Smith,AJ Finch,UT Yadav,4.0,0.0,,,Australia_India,2015/03/26
41,ball,1,3.5,Australia,SPD Smith,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
42,ball,1,3.6,Australia,SPD Smith,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
43,ball,1,4.1,Australia,AJ Finch,SPD Smith,Mohammed Shami,4.0,0.0,,,Australia_India,2015/03/26
44,ball,1,4.2,Australia,AJ Finch,SPD Smith,Mohammed Shami,2.0,0.0,,,Australia_India,2015/03/26
45,ball,1,4.3,Australia,AJ Finch,SPD Smith,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
46,ball,1,4.4,Australia,AJ Finch,SPD Smith,Mohammed Shami,0.0,0.0,,,Australia_India,2015/03/26
47,ball,1,4.5,Australia,AJ Finch,SPD Smith,Mohammed Shami,1.0,0.0,,,Australia_India,2015/03/26
48,ball,1,4.6,Australia,SPD Smith,AJ Finch,Mohammed Shami,3.0,0.0,,,Australia_India,2015/03/26
49,ball,1,5.1,Australia,SPD Smith,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
50,ball,1,5.2,Australia,SPD Smith,AJ Finch,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
51,ball,1,5.3,Australia,SPD Smith,AJ Finch,UT Yadav,1.0,0.0,,,Australia_India,2015/03/26
52,ball,1,5.4,Australia,AJ Finch,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
53,ball,1,5.5,Australia,AJ Finch,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
54,ball,1,5.6,Australia,AJ Finch,SPD Smith,UT Yadav,0.0,0.0,,,Australia_India,2015/03/26
