,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
20,ball,1,0.2,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
21,ball,1,0.3,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
22,ball,1,0.4,Australia,SR Watson,SE Marsh,P Kumar,2.0,0.0,,,India_Australia,2009/11/05
23,ball,1,0.5,Australia,SR Watson,SE Marsh,P Kumar,1.0,0.0,,,India_Australia,2009/11/05
24,ball,1,0.6,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
25,ball,1,1.1,Australia,SR Watson,SE Marsh,A Nehra,4.0,0.0,,,India_Australia,2009/11/05
26,ball,1,1.2,Australia,SR Watson,SE Marsh,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
27,ball,1,1.3,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
28,ball,1,1.4,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
29,ball,1,1.5,Australia,SE Marsh,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
30,ball,1,1.6,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
31,ball,1,2.1,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
32,ball,1,2.2,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
33,ball,1,2.3,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
34,ball,1,2.4,Australia,SE Marsh,SR Watson,P Kumar,1.0,0.0,,,India_Australia,2009/11/05
35,ball,1,2.5,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
36,ball,1,2.6,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
37,ball,1,3.1,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
38,ball,1,3.2,Australia,SE Marsh,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
39,ball,1,3.3,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
40,ball,1,3.4,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
41,ball,1,3.5,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
42,ball,1,3.6,Australia,SR Watson,SE Marsh,A Nehra,0.0,1.0,,,India_Australia,2009/11/05
43,ball,1,3.7,Australia,SR Watson,SE Marsh,A Nehra,0.0,1.0,,,India_Australia,2009/11/05
44,ball,1,3.8,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
45,ball,1,4.1,Australia,SE Marsh,SR Watson,P Kumar,2.0,0.0,,,India_Australia,2009/11/05
46,ball,1,4.2,Australia,SE Marsh,SR Watson,P Kumar,4.0,0.0,,,India_Australia,2009/11/05
47,ball,1,4.3,Australia,SE Marsh,SR Watson,P Kumar,2.0,0.0,,,India_Australia,2009/11/05
48,ball,1,4.4,Australia,SE Marsh,SR Watson,P Kumar,1.0,0.0,,,India_Australia,2009/11/05
49,ball,1,4.5,Australia,SR Watson,SE Marsh,P Kumar,1.0,0.0,,,India_Australia,2009/11/05
50,ball,1,4.6,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
51,ball,1,5.1,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
52,ball,1,5.2,Australia,SR Watson,SE Marsh,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
53,ball,1,5.3,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
54,ball,1,5.4,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
55,ball,1,5.5,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
56,ball,1,5.6,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
57,ball,1,6.1,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
58,ball,1,6.2,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
59,ball,1,6.3,Australia,SR Watson,SE Marsh,P Kumar,4.0,0.0,,,India_Australia,2009/11/05
60,ball,1,6.4,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/05
61,ball,1,6.5,Australia,SR Watson,SE Marsh,P Kumar,4.0,0.0,,,India_Australia,2009/11/05
62,ball,1,6.6,Australia,SR Watson,SE Marsh,P Kumar,1.0,0.0,,,India_Australia,2009/11/05
63,ball,1,7.1,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
64,ball,1,7.2,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
65,ball,1,7.3,Australia,SR Watson,SE Marsh,MM Patel,2.0,0.0,,,India_Australia,2009/11/05
66,ball,1,7.4,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
67,ball,1,7.5,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
68,ball,1,7.6,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
69,ball,1,8.1,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
70,ball,1,8.2,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
71,ball,1,8.3,Australia,SE Marsh,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
72,ball,1,8.4,Australia,SR Watson,SE Marsh,A Nehra,6.0,0.0,,,India_Australia,2009/11/05
73,ball,1,8.5,Australia,SR Watson,SE Marsh,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
74,ball,1,8.6,Australia,SE Marsh,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
75,ball,1,9.1,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
76,ball,1,9.2,Australia,SR Watson,SE Marsh,MM Patel,0.0,0.0,,,India_Australia,2009/11/05
77,ball,1,9.3,Australia,SR Watson,SE Marsh,MM Patel,4.0,0.0,,,India_Australia,2009/11/05
78,ball,1,9.4,Australia,SR Watson,SE Marsh,MM Patel,2.0,0.0,,,India_Australia,2009/11/05
79,ball,1,9.5,Australia,SR Watson,SE Marsh,MM Patel,6.0,0.0,,,India_Australia,2009/11/05
80,ball,1,9.6,Australia,SR Watson,SE Marsh,MM Patel,1.0,0.0,,,India_Australia,2009/11/05
81,ball,1,10.1,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
82,ball,1,10.2,Australia,SR Watson,SE Marsh,A Nehra,4.0,0.0,,,India_Australia,2009/11/05
83,ball,1,10.3,Australia,SR Watson,SE Marsh,A Nehra,6.0,0.0,,,India_Australia,2009/11/05
84,ball,1,10.4,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/05
85,ball,1,10.5,Australia,SR Watson,SE Marsh,A Nehra,1.0,0.0,,,India_Australia,2009/11/05
