,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,SR Watson,TD Paine,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
20,ball,1,0.2,Australia,SR Watson,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
21,ball,1,0.3,Australia,SR Watson,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
22,ball,1,0.4,Australia,SR Watson,TD Paine,P Kumar,1.0,0.0,,,India_Australia,2009/10/25
23,ball,1,0.5,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
24,ball,1,0.6,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
25,ball,1,1.1,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
26,ball,1,1.2,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,lbw,SR Watson,India_Australia,2009/10/25
27,ball,1,1.3,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
28,ball,1,1.4,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
29,ball,1,1.5,Australia,RT Ponting,TD Paine,A Nehra,0.0,1.0,,,India_Australia,2009/10/25
30,ball,1,1.6,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/25
31,ball,1,2.1,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
32,ball,1,2.2,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
33,ball,1,2.3,Australia,TD Paine,RT Ponting,P Kumar,0.0,1.0,,,India_Australia,2009/10/25
34,ball,1,2.4,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
35,ball,1,2.5,Australia,TD Paine,RT Ponting,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
36,ball,1,2.6,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
37,ball,1,2.7,Australia,TD Paine,RT Ponting,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
38,ball,1,3.1,Australia,RT Ponting,TD Paine,A Nehra,0.0,1.0,,,India_Australia,2009/10/25
39,ball,1,3.2,Australia,TD Paine,RT Ponting,A Nehra,4.0,0.0,,,India_Australia,2009/10/25
40,ball,1,3.3,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
41,ball,1,3.4,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
42,ball,1,3.5,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
43,ball,1,3.6,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
44,ball,1,4.1,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
45,ball,1,4.2,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
46,ball,1,4.3,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
47,ball,1,4.4,Australia,RT Ponting,TD Paine,P Kumar,1.0,0.0,,,India_Australia,2009/10/25
48,ball,1,4.5,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
49,ball,1,4.6,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
50,ball,1,5.1,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
51,ball,1,5.2,Australia,RT Ponting,TD Paine,A Nehra,1.0,0.0,,,India_Australia,2009/10/25
52,ball,1,5.3,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
53,ball,1,5.4,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/25
54,ball,1,5.5,Australia,RT Ponting,TD Paine,A Nehra,4.0,0.0,,,India_Australia,2009/10/25
55,ball,1,5.6,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
56,ball,1,6.1,Australia,TD Paine,RT Ponting,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
57,ball,1,6.2,Australia,TD Paine,RT Ponting,P Kumar,0.0,1.0,,,India_Australia,2009/10/25
58,ball,1,6.3,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
59,ball,1,6.4,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
60,ball,1,6.5,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
61,ball,1,6.6,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
62,ball,1,6.7,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
63,ball,1,7.1,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
64,ball,1,7.2,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
65,ball,1,7.3,Australia,RT Ponting,TD Paine,A Nehra,4.0,0.0,,,India_Australia,2009/10/25
66,ball,1,7.4,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
67,ball,1,7.5,Australia,RT Ponting,TD Paine,A Nehra,0.0,1.0,,,India_Australia,2009/10/25
68,ball,1,7.6,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
69,ball,1,7.7,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
70,ball,1,8.1,Australia,TD Paine,RT Ponting,P Kumar,3.0,0.0,,,India_Australia,2009/10/25
71,ball,1,8.2,Australia,RT Ponting,TD Paine,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
72,ball,1,8.3,Australia,RT Ponting,TD Paine,P Kumar,4.0,0.0,,,India_Australia,2009/10/25
73,ball,1,8.4,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
74,ball,1,8.5,Australia,RT Ponting,TD Paine,P Kumar,1.0,0.0,,,India_Australia,2009/10/25
75,ball,1,8.6,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/25
76,ball,1,9.1,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
77,ball,1,9.2,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
78,ball,1,9.3,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
79,ball,1,9.4,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
80,ball,1,9.5,Australia,RT Ponting,TD Paine,A Nehra,6.0,0.0,,,India_Australia,2009/10/25
81,ball,1,9.6,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,India_Australia,2009/10/25
82,ball,1,10.1,Australia,TD Paine,RT Ponting,I Sharma,4.0,0.0,,,India_Australia,2009/10/25
83,ball,1,10.2,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
84,ball,1,10.3,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
85,ball,1,10.4,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
86,ball,1,10.5,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
87,ball,1,10.6,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
88,ball,1,11.1,Australia,RT Ponting,TD Paine,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
89,ball,1,11.2,Australia,TD Paine,RT Ponting,Harbhajan Singh,0.0,1.0,,,India_Australia,2009/10/25
90,ball,1,11.3,Australia,TD Paine,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
91,ball,1,11.4,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
92,ball,1,11.5,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
93,ball,1,11.6,Australia,RT Ponting,TD Paine,Harbhajan Singh,4.0,0.0,,,India_Australia,2009/10/25
94,ball,1,11.7,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,1.0,,,India_Australia,2009/10/25
95,ball,1,11.8,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
96,ball,1,12.1,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
97,ball,1,12.2,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
98,ball,1,12.3,Australia,TD Paine,RT Ponting,I Sharma,4.0,0.0,,,India_Australia,2009/10/25
99,ball,1,12.4,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
100,ball,1,12.5,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
101,ball,1,12.6,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
102,ball,1,13.1,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
103,ball,1,13.2,Australia,RT Ponting,TD Paine,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
104,ball,1,13.3,Australia,RT Ponting,TD Paine,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
105,ball,1,13.4,Australia,TD Paine,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
106,ball,1,13.5,Australia,TD Paine,RT Ponting,Harbhajan Singh,4.0,0.0,,,India_Australia,2009/10/25
107,ball,1,13.6,Australia,TD Paine,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
108,ball,1,14.1,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
109,ball,1,14.2,Australia,TD Paine,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
110,ball,1,14.3,Australia,RT Ponting,TD Paine,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
111,ball,1,14.4,Australia,RT Ponting,TD Paine,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
112,ball,1,14.5,Australia,RT Ponting,TD Paine,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
113,ball,1,14.6,Australia,RT Ponting,TD Paine,I Sharma,4.0,0.0,,,India_Australia,2009/10/25
114,ball,1,15.1,Australia,TD Paine,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
115,ball,1,15.2,Australia,TD Paine,RT Ponting,Harbhajan Singh,4.0,0.0,,,India_Australia,2009/10/25
116,ball,1,15.3,Australia,TD Paine,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
117,ball,1,15.4,Australia,TD Paine,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
118,ball,1,15.5,Australia,RT Ponting,TD Paine,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
119,ball,1,15.6,Australia,TD Paine,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
120,ball,1,16.1,Australia,RT Ponting,TD Paine,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
121,ball,1,16.2,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
122,ball,1,16.3,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
123,ball,1,16.4,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
124,ball,1,16.5,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
125,ball,1,16.6,Australia,TD Paine,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
126,ball,1,17.1,Australia,TD Paine,RT Ponting,RA Jadeja,4.0,0.0,,,India_Australia,2009/10/25
127,ball,1,17.2,Australia,TD Paine,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
128,ball,1,17.3,Australia,TD Paine,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
129,ball,1,17.4,Australia,RT Ponting,TD Paine,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
130,ball,1,17.5,Australia,TD Paine,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
131,ball,1,17.6,Australia,RT Ponting,TD Paine,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
132,ball,1,18.1,Australia,TD Paine,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
133,ball,1,18.2,Australia,RT Ponting,TD Paine,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
134,ball,1,18.3,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
135,ball,1,18.4,Australia,TD Paine,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
136,ball,1,18.5,Australia,RT Ponting,TD Paine,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
137,ball,1,18.6,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,caught,TD Paine,India_Australia,2009/10/25
138,ball,1,19.1,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
139,ball,1,19.2,Australia,CL White,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
140,ball,1,19.3,Australia,CL White,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
141,ball,1,19.4,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
142,ball,1,19.5,Australia,RT Ponting,CL White,RA Jadeja,2.0,0.0,,,India_Australia,2009/10/25
143,ball,1,19.6,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
144,ball,1,20.1,Australia,RT Ponting,CL White,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
145,ball,1,20.2,Australia,CL White,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
146,ball,1,20.3,Australia,CL White,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
147,ball,1,20.4,Australia,CL White,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
148,ball,1,20.5,Australia,CL White,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
149,ball,1,20.6,Australia,CL White,RT Ponting,I Sharma,0.0,1.0,,,India_Australia,2009/10/25
150,ball,1,20.7,Australia,CL White,RT Ponting,I Sharma,2.0,0.0,,,India_Australia,2009/10/25
151,ball,1,21.1,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
152,ball,1,21.2,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
153,ball,1,21.3,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
154,ball,1,21.4,Australia,CL White,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
155,ball,1,21.5,Australia,RT Ponting,CL White,RA Jadeja,4.0,0.0,,,India_Australia,2009/10/25
156,ball,1,21.6,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
157,ball,1,22.1,Australia,CL White,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
158,ball,1,22.2,Australia,CL White,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
159,ball,1,22.3,Australia,RT Ponting,CL White,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
160,ball,1,22.4,Australia,RT Ponting,CL White,I Sharma,0.0,0.0,,,India_Australia,2009/10/25
161,ball,1,22.5,Australia,RT Ponting,CL White,I Sharma,2.0,0.0,,,India_Australia,2009/10/25
162,ball,1,22.6,Australia,RT Ponting,CL White,I Sharma,1.0,0.0,,,India_Australia,2009/10/25
163,ball,1,23.1,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
164,ball,1,23.2,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
165,ball,1,23.3,Australia,CL White,RT Ponting,RA Jadeja,3.0,0.0,,,India_Australia,2009/10/25
166,ball,1,23.4,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
167,ball,1,23.5,Australia,RT Ponting,CL White,RA Jadeja,6.0,0.0,,,India_Australia,2009/10/25
168,ball,1,23.6,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
169,ball,1,24.1,Australia,RT Ponting,CL White,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
170,ball,1,24.2,Australia,CL White,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
171,ball,1,24.3,Australia,RT Ponting,CL White,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
172,ball,1,24.4,Australia,CL White,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
173,ball,1,24.5,Australia,CL White,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
174,ball,1,24.6,Australia,RT Ponting,CL White,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
175,ball,1,25.1,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
176,ball,1,25.2,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
177,ball,1,25.3,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
178,ball,1,25.4,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
179,ball,1,25.5,Australia,RT Ponting,CL White,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/25
180,ball,1,25.6,Australia,CL White,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
181,ball,1,26.1,Australia,RT Ponting,CL White,Harbhajan Singh,4.0,0.0,,,India_Australia,2009/10/25
182,ball,1,26.2,Australia,RT Ponting,CL White,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
183,ball,1,26.3,Australia,CL White,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
184,ball,1,26.4,Australia,CL White,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/25
185,ball,1,26.5,Australia,CL White,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
186,ball,1,26.6,Australia,RT Ponting,CL White,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/25
187,ball,1,27.1,Australia,RT Ponting,CL White,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/25
