,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
20,ball,1,0.2,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
21,ball,1,0.3,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
22,ball,1,0.4,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
23,ball,1,0.5,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
24,ball,1,0.6,Australia,SR Watson,RT Ponting,P Kumar,4.0,0.0,,,India_Australia,2009/10/31
25,ball,1,1.1,Australia,RT Ponting,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
26,ball,1,1.2,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
27,ball,1,1.3,Australia,SR Watson,RT Ponting,A Nehra,2.0,0.0,,,India_Australia,2009/10/31
28,ball,1,1.4,Australia,SR Watson,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
29,ball,1,1.5,Australia,RT Ponting,SR Watson,A Nehra,4.0,0.0,,,India_Australia,2009/10/31
30,ball,1,1.6,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
31,ball,1,2.1,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
32,ball,1,2.2,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
33,ball,1,2.3,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
34,ball,1,2.4,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
35,ball,1,2.5,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
36,ball,1,2.6,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
37,ball,1,3.1,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
38,ball,1,3.2,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
39,ball,1,3.3,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
40,ball,1,3.4,Australia,RT Ponting,SR Watson,A Nehra,4.0,0.0,,,India_Australia,2009/10/31
41,ball,1,3.5,Australia,RT Ponting,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
42,ball,1,3.6,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
43,ball,1,4.1,Australia,RT Ponting,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
44,ball,1,4.2,Australia,RT Ponting,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
45,ball,1,4.3,Australia,RT Ponting,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
46,ball,1,4.4,Australia,RT Ponting,SR Watson,P Kumar,1.0,0.0,,,India_Australia,2009/10/31
47,ball,1,4.5,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
48,ball,1,4.6,Australia,SR Watson,RT Ponting,P Kumar,1.0,0.0,,,India_Australia,2009/10/31
49,ball,1,5.1,Australia,SR Watson,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
50,ball,1,5.2,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
51,ball,1,5.3,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
52,ball,1,5.4,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
53,ball,1,5.5,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
54,ball,1,5.6,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
55,ball,1,6.1,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
56,ball,1,6.2,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
57,ball,1,6.3,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
58,ball,1,6.4,Australia,SR Watson,RT Ponting,P Kumar,4.0,0.0,,,India_Australia,2009/10/31
59,ball,1,6.5,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
60,ball,1,6.6,Australia,SR Watson,RT Ponting,P Kumar,0.0,0.0,,,India_Australia,2009/10/31
61,ball,1,7.1,Australia,RT Ponting,SR Watson,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
62,ball,1,7.2,Australia,RT Ponting,SR Watson,A Nehra,4.0,0.0,,,India_Australia,2009/10/31
63,ball,1,7.3,Australia,RT Ponting,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
64,ball,1,7.4,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
65,ball,1,7.5,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
66,ball,1,7.6,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
67,ball,1,8.1,Australia,RT Ponting,SR Watson,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
68,ball,1,8.2,Australia,RT Ponting,SR Watson,I Sharma,4.0,0.0,,,India_Australia,2009/10/31
69,ball,1,8.3,Australia,RT Ponting,SR Watson,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
70,ball,1,8.4,Australia,SR Watson,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
71,ball,1,8.5,Australia,SR Watson,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
72,ball,1,8.6,Australia,SR Watson,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
73,ball,1,9.1,Australia,SR Watson,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
74,ball,1,9.2,Australia,RT Ponting,SR Watson,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
75,ball,1,9.3,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
76,ball,1,9.4,Australia,SR Watson,RT Ponting,A Nehra,2.0,0.0,,,India_Australia,2009/10/31
77,ball,1,9.5,Australia,SR Watson,RT Ponting,A Nehra,0.0,0.0,,,India_Australia,2009/10/31
78,ball,1,9.6,Australia,SR Watson,RT Ponting,A Nehra,1.0,0.0,,,India_Australia,2009/10/31
79,ball,1,10.1,Australia,SR Watson,RT Ponting,RA Jadeja,2.0,0.0,,,India_Australia,2009/10/31
80,ball,1,10.2,Australia,SR Watson,RT Ponting,RA Jadeja,2.0,0.0,,,India_Australia,2009/10/31
81,ball,1,10.3,Australia,SR Watson,RT Ponting,RA Jadeja,4.0,0.0,,,India_Australia,2009/10/31
82,ball,1,10.4,Australia,SR Watson,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/31
83,ball,1,10.5,Australia,RT Ponting,SR Watson,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
84,ball,1,10.6,Australia,RT Ponting,SR Watson,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/31
85,ball,1,11.1,Australia,RT Ponting,SR Watson,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
86,ball,1,11.2,Australia,SR Watson,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
87,ball,1,11.3,Australia,SR Watson,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
88,ball,1,11.4,Australia,RT Ponting,SR Watson,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
89,ball,1,11.5,Australia,SR Watson,RT Ponting,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
90,ball,1,11.6,Australia,RT Ponting,SR Watson,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
91,ball,1,12.1,Australia,SR Watson,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
92,ball,1,12.2,Australia,SR Watson,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
93,ball,1,12.3,Australia,SR Watson,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
94,ball,1,12.4,Australia,SR Watson,RT Ponting,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
95,ball,1,12.5,Australia,SR Watson,RT Ponting,RA Jadeja,4.0,0.0,,,India_Australia,2009/10/31
96,ball,1,12.6,Australia,SR Watson,RT Ponting,RA Jadeja,2.0,0.0,,,India_Australia,2009/10/31
97,ball,1,13.1,Australia,RT Ponting,SR Watson,I Sharma,2.0,0.0,,,India_Australia,2009/10/31
98,ball,1,13.2,Australia,RT Ponting,SR Watson,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
99,ball,1,13.3,Australia,RT Ponting,SR Watson,I Sharma,1.0,0.0,,,India_Australia,2009/10/31
100,ball,1,13.4,Australia,SR Watson,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
101,ball,1,13.5,Australia,SR Watson,RT Ponting,I Sharma,0.0,0.0,,,India_Australia,2009/10/31
102,ball,1,13.6,Australia,SR Watson,RT Ponting,I Sharma,4.0,0.0,,,India_Australia,2009/10/31
103,ball,1,14.1,Australia,RT Ponting,SR Watson,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/31
104,ball,1,14.2,Australia,SR Watson,RT Ponting,RA Jadeja,1.0,0.0,,,India_Australia,2009/10/31
105,ball,1,14.3,Australia,RT Ponting,SR Watson,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
106,ball,1,14.4,Australia,RT Ponting,SR Watson,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
107,ball,1,14.5,Australia,RT Ponting,SR Watson,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
108,ball,1,14.6,Australia,RT Ponting,SR Watson,RA Jadeja,0.0,0.0,,,India_Australia,2009/10/31
109,ball,1,15.1,Australia,SR Watson,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
110,ball,1,15.2,Australia,SR Watson,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
111,ball,1,15.3,Australia,SR Watson,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
112,ball,1,15.4,Australia,SR Watson,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
113,ball,1,15.5,Australia,SR Watson,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
114,ball,1,15.6,Australia,RT Ponting,SR Watson,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
115,ball,1,16.1,Australia,RT Ponting,SR Watson,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
116,ball,1,16.2,Australia,SR Watson,RT Ponting,Yuvraj Singh,0.0,0.0,stumped,SR Watson,India_Australia,2009/10/31
117,ball,1,16.3,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
118,ball,1,16.4,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
119,ball,1,16.5,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
120,ball,1,16.6,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
121,ball,1,17.1,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
122,ball,1,17.2,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
123,ball,1,17.3,Australia,MEK Hussey,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
124,ball,1,17.4,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
125,ball,1,17.5,Australia,MEK Hussey,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
126,ball,1,17.6,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
127,ball,1,18.1,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
128,ball,1,18.2,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
129,ball,1,18.3,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
130,ball,1,18.4,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
131,ball,1,18.5,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
132,ball,1,18.6,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
133,ball,1,19.1,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
134,ball,1,19.2,Australia,MEK Hussey,RT Ponting,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
135,ball,1,19.3,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
136,ball,1,19.4,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
137,ball,1,19.5,Australia,MEK Hussey,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
138,ball,1,19.6,Australia,MEK Hussey,RT Ponting,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
139,ball,1,20.1,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
140,ball,1,20.2,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
141,ball,1,20.3,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
142,ball,1,20.4,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
143,ball,1,20.5,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,1.0,0.0,,,India_Australia,2009/10/31
144,ball,1,20.6,Australia,MEK Hussey,RT Ponting,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
145,ball,1,21.1,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
146,ball,1,21.2,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
147,ball,1,21.3,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
148,ball,1,21.4,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
149,ball,1,21.5,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,0.0,0.0,,,India_Australia,2009/10/31
150,ball,1,21.6,Australia,RT Ponting,MEK Hussey,Harbhajan Singh,1.0,0.0,,,India_Australia,2009/10/31
151,ball,1,22.1,Australia,RT Ponting,MEK Hussey,Yuvraj Singh,0.0,0.0,,,India_Australia,2009/10/31
