,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,India,RG Sharma,S Dhawan,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
20,ball,1,0.2,India,RG Sharma,S Dhawan,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
21,ball,1,0.3,India,RG Sharma,S Dhawan,JS Paris,2.0,0.0,,,Australia_India,2016/01/15
22,ball,1,0.4,India,RG Sharma,S Dhawan,JS Paris,1.0,0.0,,,Australia_India,2016/01/15
23,ball,1,0.5,India,S Dhawan,RG Sharma,JS Paris,2.0,0.0,,,Australia_India,2016/01/15
24,ball,1,0.6,India,S Dhawan,RG Sharma,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
25,ball,1,1.1,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
26,ball,1,1.2,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
27,ball,1,1.3,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
28,ball,1,1.4,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
29,ball,1,1.5,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
30,ball,1,1.6,India,RG Sharma,S Dhawan,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
31,ball,1,2.1,India,S Dhawan,RG Sharma,JS Paris,4.0,0.0,,,Australia_India,2016/01/15
32,ball,1,2.2,India,S Dhawan,RG Sharma,JS Paris,0.0,0.0,caught,S Dhawan,Australia_India,2016/01/15
33,ball,1,2.3,India,V Kohli,RG Sharma,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
34,ball,1,2.4,India,V Kohli,RG Sharma,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
35,ball,1,2.5,India,V Kohli,RG Sharma,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
36,ball,1,2.6,India,V Kohli,RG Sharma,JS Paris,2.0,0.0,,,Australia_India,2016/01/15
37,ball,1,3.1,India,RG Sharma,V Kohli,KW Richardson,4.0,0.0,,,Australia_India,2016/01/15
38,ball,1,3.2,India,RG Sharma,V Kohli,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
39,ball,1,3.3,India,RG Sharma,V Kohli,KW Richardson,3.0,0.0,,,Australia_India,2016/01/15
40,ball,1,3.4,India,V Kohli,RG Sharma,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
41,ball,1,3.5,India,V Kohli,RG Sharma,KW Richardson,1.0,0.0,,,Australia_India,2016/01/15
42,ball,1,3.6,India,RG Sharma,V Kohli,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
43,ball,1,4.1,India,V Kohli,RG Sharma,JS Paris,1.0,0.0,,,Australia_India,2016/01/15
44,ball,1,4.2,India,RG Sharma,V Kohli,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
45,ball,1,4.3,India,RG Sharma,V Kohli,JS Paris,0.0,1.0,,,Australia_India,2016/01/15
46,ball,1,4.4,India,RG Sharma,V Kohli,JS Paris,1.0,0.0,,,Australia_India,2016/01/15
47,ball,1,4.5,India,V Kohli,RG Sharma,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
48,ball,1,4.6,India,V Kohli,RG Sharma,JS Paris,1.0,0.0,,,Australia_India,2016/01/15
49,ball,1,4.7,India,RG Sharma,V Kohli,JS Paris,0.0,0.0,,,Australia_India,2016/01/15
50,ball,1,5.1,India,V Kohli,RG Sharma,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
51,ball,1,5.2,India,V Kohli,RG Sharma,KW Richardson,1.0,0.0,,,Australia_India,2016/01/15
52,ball,1,5.3,India,RG Sharma,V Kohli,KW Richardson,4.0,0.0,,,Australia_India,2016/01/15
53,ball,1,5.4,India,RG Sharma,V Kohli,KW Richardson,0.0,0.0,,,Australia_India,2016/01/15
54,ball,1,5.5,India,RG Sharma,V Kohli,KW Richardson,6.0,0.0,,,Australia_India,2016/01/15
