,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,India,V Sehwag,SR Tendulkar,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
20,ball,1,0.2,India,V Sehwag,SR Tendulkar,MG Johnson,6.0,0.0,,,India_Australia,2009/11/08
21,ball,1,0.3,India,V Sehwag,SR Tendulkar,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
22,ball,1,0.4,India,V Sehwag,SR Tendulkar,MG Johnson,0.0,1.0,,,India_Australia,2009/11/08
23,ball,1,0.5,India,V Sehwag,SR Tendulkar,MG Johnson,0.0,0.0,bowled,V Sehwag,India_Australia,2009/11/08
24,ball,1,0.6,India,G Gambhir,SR Tendulkar,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
25,ball,1,0.7,India,G Gambhir,SR Tendulkar,MG Johnson,0.0,0.0,bowled,G Gambhir,India_Australia,2009/11/08
26,ball,1,1.1,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
27,ball,1,1.2,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
28,ball,1,1.3,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
29,ball,1,1.4,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
30,ball,1,1.5,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
31,ball,1,1.6,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
32,ball,1,2.1,India,Yuvraj Singh,SR Tendulkar,MG Johnson,1.0,0.0,,,India_Australia,2009/11/08
33,ball,1,2.2,India,SR Tendulkar,Yuvraj Singh,MG Johnson,4.0,0.0,,,India_Australia,2009/11/08
34,ball,1,2.3,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
35,ball,1,2.4,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
36,ball,1,2.5,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
37,ball,1,2.6,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
38,ball,1,3.1,India,Yuvraj Singh,SR Tendulkar,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
39,ball,1,3.2,India,Yuvraj Singh,SR Tendulkar,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
40,ball,1,3.3,India,Yuvraj Singh,SR Tendulkar,DE Bollinger,1.0,0.0,,,India_Australia,2009/11/08
41,ball,1,3.4,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,1.0,0.0,,,India_Australia,2009/11/08
42,ball,1,3.5,India,Yuvraj Singh,SR Tendulkar,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
43,ball,1,3.6,India,Yuvraj Singh,SR Tendulkar,DE Bollinger,4.0,0.0,,,India_Australia,2009/11/08
44,ball,1,4.1,India,SR Tendulkar,Yuvraj Singh,MG Johnson,4.0,0.0,,,India_Australia,2009/11/08
45,ball,1,4.2,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
46,ball,1,4.3,India,SR Tendulkar,Yuvraj Singh,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
47,ball,1,4.4,India,SR Tendulkar,Yuvraj Singh,MG Johnson,1.0,0.0,,,India_Australia,2009/11/08
48,ball,1,4.5,India,Yuvraj Singh,SR Tendulkar,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
49,ball,1,4.6,India,Yuvraj Singh,SR Tendulkar,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
50,ball,1,5.1,India,SR Tendulkar,Yuvraj Singh,DE Bollinger,0.0,0.0,caught and bowled,SR Tendulkar,India_Australia,2009/11/08
51,ball,1,5.2,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
52,ball,1,5.3,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
53,ball,1,5.4,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
54,ball,1,5.5,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
55,ball,1,5.6,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
56,ball,1,6.1,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
57,ball,1,6.2,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
58,ball,1,6.3,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
59,ball,1,6.4,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
60,ball,1,6.5,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
61,ball,1,6.6,India,Yuvraj Singh,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
62,ball,1,7.1,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
63,ball,1,7.2,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
64,ball,1,7.3,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
65,ball,1,7.4,India,MS Dhoni,Yuvraj Singh,DE Bollinger,0.0,1.0,,,India_Australia,2009/11/08
66,ball,1,7.5,India,Yuvraj Singh,MS Dhoni,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
67,ball,1,7.6,India,Yuvraj Singh,MS Dhoni,DE Bollinger,0.0,0.0,bowled,Yuvraj Singh,India_Australia,2009/11/08
68,ball,1,8.1,India,MS Dhoni,SK Raina,MG Johnson,0.0,1.0,,,India_Australia,2009/11/08
69,ball,1,8.2,India,MS Dhoni,SK Raina,MG Johnson,1.0,0.0,,,India_Australia,2009/11/08
70,ball,1,8.3,India,SK Raina,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
71,ball,1,8.4,India,SK Raina,MS Dhoni,MG Johnson,0.0,1.0,,,India_Australia,2009/11/08
72,ball,1,8.5,India,SK Raina,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
73,ball,1,8.6,India,SK Raina,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
74,ball,1,8.7,India,SK Raina,MS Dhoni,MG Johnson,0.0,0.0,,,India_Australia,2009/11/08
75,ball,1,8.8,India,SK Raina,MS Dhoni,MG Johnson,0.0,0.0,caught,SK Raina,India_Australia,2009/11/08
76,ball,1,9.1,India,MS Dhoni,RA Jadeja,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
77,ball,1,9.2,India,MS Dhoni,RA Jadeja,DE Bollinger,0.0,0.0,,,India_Australia,2009/11/08
