,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,India,RG Sharma,S Dhawan,CJ McKay,1.0,0.0,,,India_Australia,2013/11/02
20,ball,1,0.2,India,S Dhawan,RG Sharma,CJ McKay,0.0,1.0,,,India_Australia,2013/11/02
21,ball,1,0.3,India,S Dhawan,RG Sharma,CJ McKay,2.0,0.0,,,India_Australia,2013/11/02
22,ball,1,0.4,India,S Dhawan,RG Sharma,CJ McKay,0.0,0.0,,,India_Australia,2013/11/02
23,ball,1,0.5,India,S Dhawan,RG Sharma,CJ McKay,0.0,0.0,,,India_Australia,2013/11/02
24,ball,1,0.6,India,S Dhawan,RG Sharma,CJ McKay,0.0,0.0,,,India_Australia,2013/11/02
25,ball,1,0.7,India,S Dhawan,RG Sharma,CJ McKay,0.0,0.0,,,India_Australia,2013/11/02
26,ball,1,1.1,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
27,ball,1,1.2,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
28,ball,1,1.3,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,1.0,,,India_Australia,2013/11/02
29,ball,1,1.4,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
30,ball,1,1.5,India,RG Sharma,S Dhawan,NM Coulter-Nile,4.0,0.0,,,India_Australia,2013/11/02
31,ball,1,1.6,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
32,ball,1,1.7,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
33,ball,1,2.1,India,S Dhawan,RG Sharma,CJ McKay,0.0,3.0,,,India_Australia,2013/11/02
34,ball,1,2.2,India,S Dhawan,RG Sharma,CJ McKay,4.0,0.0,,,India_Australia,2013/11/02
35,ball,1,2.3,India,S Dhawan,RG Sharma,CJ McKay,4.0,0.0,,,India_Australia,2013/11/02
36,ball,1,2.4,India,S Dhawan,RG Sharma,CJ McKay,4.0,0.0,,,India_Australia,2013/11/02
37,ball,1,2.5,India,S Dhawan,RG Sharma,CJ McKay,1.0,0.0,,,India_Australia,2013/11/02
38,ball,1,2.6,India,RG Sharma,S Dhawan,CJ McKay,0.0,0.0,,,India_Australia,2013/11/02
39,ball,1,2.7,India,RG Sharma,S Dhawan,CJ McKay,1.0,0.0,,,India_Australia,2013/11/02
40,ball,1,3.1,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
41,ball,1,3.2,India,RG Sharma,S Dhawan,NM Coulter-Nile,0.0,0.0,,,India_Australia,2013/11/02
42,ball,1,3.3,India,RG Sharma,S Dhawan,NM Coulter-Nile,1.0,0.0,,,India_Australia,2013/11/02
43,ball,1,3.4,India,S Dhawan,RG Sharma,NM Coulter-Nile,2.0,0.0,,,India_Australia,2013/11/02
