,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
18,ball,1,0.1,Australia,SR Watson,BJ Haddin,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
19,ball,1,0.2,Australia,SR Watson,BJ Haddin,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
20,ball,1,0.3,Australia,SR Watson,BJ Haddin,R Ashwin,1.0,0.0,,,India_Australia,2011/03/24
21,ball,1,0.4,Australia,BJ Haddin,SR Watson,R Ashwin,0.0,1.0,,,India_Australia,2011/03/24
22,ball,1,0.5,Australia,BJ Haddin,SR Watson,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
23,ball,1,0.6,Australia,BJ Haddin,SR Watson,R Ashwin,1.0,0.0,,,India_Australia,2011/03/24
24,ball,1,0.7,Australia,SR Watson,BJ Haddin,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
25,ball,1,1.1,Australia,BJ Haddin,SR Watson,Z Khan,0.0,0.0,,,India_Australia,2011/03/24
26,ball,1,1.2,Australia,BJ Haddin,SR Watson,Z Khan,1.0,0.0,,,India_Australia,2011/03/24
27,ball,1,1.3,Australia,SR Watson,BJ Haddin,Z Khan,0.0,0.0,,,India_Australia,2011/03/24
28,ball,1,1.4,Australia,SR Watson,BJ Haddin,Z Khan,0.0,0.0,,,India_Australia,2011/03/24
29,ball,1,1.5,Australia,SR Watson,BJ Haddin,Z Khan,0.0,0.0,,,India_Australia,2011/03/24
30,ball,1,1.6,Australia,SR Watson,BJ Haddin,Z Khan,0.0,0.0,,,India_Australia,2011/03/24
31,ball,1,2.1,Australia,BJ Haddin,SR Watson,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
32,ball,1,2.2,Australia,BJ Haddin,SR Watson,R Ashwin,1.0,0.0,,,India_Australia,2011/03/24
33,ball,1,2.3,Australia,SR Watson,BJ Haddin,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
34,ball,1,2.4,Australia,SR Watson,BJ Haddin,R Ashwin,0.0,0.0,,,India_Australia,2011/03/24
