,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
18,ball,1,0.1,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
19,ball,1,0.2,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
20,ball,1,0.3,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
21,ball,1,0.4,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
22,ball,1,0.5,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
23,ball,1,0.6,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
24,ball,1,1.1,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
25,ball,1,1.2,Australia,TD Paine,SR Watson,P Kumar,0.0,1.0,,,Australia_India,2009/09/28
26,ball,1,1.3,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
27,ball,1,1.4,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
28,ball,1,1.5,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
29,ball,1,1.6,Australia,TD Paine,SR Watson,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
30,ball,1,1.7,Australia,TD Paine,SR Watson,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
31,ball,1,2.1,Australia,TD Paine,SR Watson,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
32,ball,1,2.2,Australia,SR Watson,TD Paine,A Nehra,0.0,0.0,caught,SR Watson,Australia_India,2009/09/28
33,ball,1,2.3,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
34,ball,1,2.4,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
35,ball,1,2.5,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
36,ball,1,2.6,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
37,ball,1,3.1,Australia,TD Paine,RT Ponting,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
38,ball,1,3.2,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
39,ball,1,3.3,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
40,ball,1,3.4,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
41,ball,1,3.5,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
42,ball,1,3.6,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
43,ball,1,4.1,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
44,ball,1,4.2,Australia,RT Ponting,TD Paine,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
45,ball,1,4.3,Australia,TD Paine,RT Ponting,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
46,ball,1,4.4,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
47,ball,1,4.5,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
48,ball,1,4.6,Australia,RT Ponting,TD Paine,A Nehra,4.0,0.0,,,Australia_India,2009/09/28
49,ball,1,5.1,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
50,ball,1,5.2,Australia,TD Paine,RT Ponting,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
51,ball,1,5.3,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
52,ball,1,5.4,Australia,RT Ponting,TD Paine,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
53,ball,1,5.5,Australia,RT Ponting,TD Paine,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
54,ball,1,5.6,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
55,ball,1,6.1,Australia,RT Ponting,TD Paine,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
56,ball,1,6.2,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
57,ball,1,6.3,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
58,ball,1,6.4,Australia,RT Ponting,TD Paine,A Nehra,0.0,0.0,,,Australia_India,2009/09/28
59,ball,1,6.5,Australia,RT Ponting,TD Paine,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
60,ball,1,6.6,Australia,TD Paine,RT Ponting,A Nehra,1.0,0.0,,,Australia_India,2009/09/28
61,ball,1,7.1,Australia,TD Paine,RT Ponting,P Kumar,4.0,0.0,,,Australia_India,2009/09/28
62,ball,1,7.2,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
63,ball,1,7.3,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
64,ball,1,7.4,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
65,ball,1,7.5,Australia,TD Paine,RT Ponting,P Kumar,0.0,0.0,,,Australia_India,2009/09/28
66,ball,1,7.6,Australia,TD Paine,RT Ponting,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
67,ball,1,8.1,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,Australia_India,2009/09/28
68,ball,1,8.2,Australia,TD Paine,RT Ponting,I Sharma,0.0,0.0,,,Australia_India,2009/09/28
69,ball,1,8.3,Australia,TD Paine,RT Ponting,I Sharma,4.0,0.0,,,Australia_India,2009/09/28
70,ball,1,8.4,Australia,TD Paine,RT Ponting,I Sharma,6.0,0.0,,,Australia_India,2009/09/28
71,ball,1,8.5,Australia,TD Paine,RT Ponting,I Sharma,1.0,0.0,,,Australia_India,2009/09/28
72,ball,1,8.6,Australia,RT Ponting,TD Paine,I Sharma,0.0,1.0,,,Australia_India,2009/09/28
73,ball,1,8.7,Australia,RT Ponting,TD Paine,I Sharma,4.0,0.0,,,Australia_India,2009/09/28
74,ball,1,9.1,Australia,TD Paine,RT Ponting,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
75,ball,1,9.2,Australia,RT Ponting,TD Paine,P Kumar,0.0,1.0,,,Australia_India,2009/09/28
76,ball,1,9.3,Australia,RT Ponting,TD Paine,P Kumar,6.0,0.0,,,Australia_India,2009/09/28
77,ball,1,9.4,Australia,RT Ponting,TD Paine,P Kumar,1.0,0.0,,,Australia_India,2009/09/28
