,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,India,RG Sharma,S Dhawan,MA Starc,1.0,0.0,,,Australia_India,2015/01/18
20,ball,1,0.2,India,S Dhawan,RG Sharma,MA Starc,2.0,0.0,,,Australia_India,2015/01/18
21,ball,1,0.3,India,S Dhawan,RG Sharma,MA Starc,0.0,0.0,,,Australia_India,2015/01/18
22,ball,1,0.4,India,S Dhawan,RG Sharma,MA Starc,0.0,0.0,,,Australia_India,2015/01/18
23,ball,1,0.5,India,S Dhawan,RG Sharma,MA Starc,0.0,0.0,caught,S Dhawan,Australia_India,2015/01/18
24,ball,1,0.6,India,AM Rahane,RG Sharma,MA Starc,0.0,1.0,,,Australia_India,2015/01/18
25,ball,1,1.1,India,AM Rahane,RG Sharma,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
26,ball,1,1.2,India,AM Rahane,RG Sharma,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
27,ball,1,1.3,India,AM Rahane,RG Sharma,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
28,ball,1,1.4,India,AM Rahane,RG Sharma,PJ Cummins,2.0,0.0,,,Australia_India,2015/01/18
29,ball,1,1.5,India,AM Rahane,RG Sharma,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
30,ball,1,1.6,India,AM Rahane,RG Sharma,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
31,ball,1,2.1,India,RG Sharma,AM Rahane,MA Starc,0.0,0.0,,,Australia_India,2015/01/18
32,ball,1,2.2,India,RG Sharma,AM Rahane,MA Starc,1.0,0.0,,,Australia_India,2015/01/18
33,ball,1,2.3,India,AM Rahane,RG Sharma,MA Starc,4.0,0.0,,,Australia_India,2015/01/18
34,ball,1,2.4,India,AM Rahane,RG Sharma,MA Starc,0.0,1.0,,,Australia_India,2015/01/18
35,ball,1,2.5,India,AM Rahane,RG Sharma,MA Starc,0.0,0.0,,,Australia_India,2015/01/18
36,ball,1,2.6,India,AM Rahane,RG Sharma,MA Starc,4.0,0.0,,,Australia_India,2015/01/18
37,ball,1,2.7,India,AM Rahane,RG Sharma,MA Starc,0.0,0.0,,,Australia_India,2015/01/18
38,ball,1,3.1,India,RG Sharma,AM Rahane,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
39,ball,1,3.2,India,RG Sharma,AM Rahane,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
40,ball,1,3.3,India,RG Sharma,AM Rahane,PJ Cummins,0.0,0.0,,,Australia_India,2015/01/18
