,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,AJ Finch,PJ Hughes,B Kumar,1.0,0.0,,,India_Australia,2013/10/16
20,ball,1,0.2,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
21,ball,1,0.3,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
22,ball,1,0.4,Australia,PJ Hughes,AJ Finch,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
23,ball,1,0.5,Australia,PJ Hughes,AJ Finch,B Kumar,4.0,0.0,,,India_Australia,2013/10/16
24,ball,1,0.6,Australia,PJ Hughes,AJ Finch,B Kumar,1.0,0.0,,,India_Australia,2013/10/16
25,ball,1,1.1,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/16
26,ball,1,1.2,Australia,AJ Finch,PJ Hughes,I Sharma,0.0,2.0,,,India_Australia,2013/10/16
27,ball,1,1.3,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/16
28,ball,1,1.4,Australia,AJ Finch,PJ Hughes,I Sharma,1.0,0.0,,,India_Australia,2013/10/16
29,ball,1,1.5,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
30,ball,1,1.6,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
31,ball,1,1.7,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
32,ball,1,2.1,Australia,AJ Finch,PJ Hughes,B Kumar,4.0,0.0,,,India_Australia,2013/10/16
33,ball,1,2.2,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
34,ball,1,2.3,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
35,ball,1,2.4,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
36,ball,1,2.5,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
37,ball,1,2.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
38,ball,1,3.1,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
39,ball,1,3.2,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
40,ball,1,3.3,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
41,ball,1,3.4,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
42,ball,1,3.5,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
43,ball,1,3.6,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
44,ball,1,4.1,Australia,AJ Finch,PJ Hughes,B Kumar,4.0,0.0,,,India_Australia,2013/10/16
45,ball,1,4.2,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
46,ball,1,4.3,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
47,ball,1,4.4,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
48,ball,1,4.5,Australia,AJ Finch,PJ Hughes,B Kumar,4.0,0.0,,,India_Australia,2013/10/16
49,ball,1,4.6,Australia,AJ Finch,PJ Hughes,B Kumar,0.0,0.0,,,India_Australia,2013/10/16
50,ball,1,5.1,Australia,PJ Hughes,AJ Finch,I Sharma,0.0,0.0,,,India_Australia,2013/10/16
51,ball,1,5.2,Australia,PJ Hughes,AJ Finch,I Sharma,1.0,0.0,,,India_Australia,2013/10/16
52,ball,1,5.3,Australia,AJ Finch,PJ Hughes,I Sharma,1.0,0.0,,,India_Australia,2013/10/16
