,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
18,ball,1,0.1,Australia,DA Warner,RT Ponting,Z Khan,2.0,0.0,,,Australia_India,2012/02/12
19,ball,1,0.2,Australia,DA Warner,RT Ponting,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
20,ball,1,0.3,Australia,DA Warner,RT Ponting,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
21,ball,1,0.4,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
22,ball,1,0.5,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
23,ball,1,0.6,Australia,RT Ponting,DA Warner,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
24,ball,1,1.1,Australia,RT Ponting,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
25,ball,1,1.2,Australia,RT Ponting,DA Warner,R Vinay Kumar,0.0,1.0,,,Australia_India,2012/02/12
26,ball,1,1.3,Australia,DA Warner,RT Ponting,R Vinay Kumar,3.0,0.0,,,Australia_India,2012/02/12
27,ball,1,1.4,Australia,RT Ponting,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
28,ball,1,1.5,Australia,RT Ponting,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
29,ball,1,1.6,Australia,RT Ponting,DA Warner,R Vinay Kumar,4.0,0.0,,,Australia_India,2012/02/12
30,ball,1,2.1,Australia,DA Warner,RT Ponting,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
31,ball,1,2.2,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
32,ball,1,2.3,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
33,ball,1,2.4,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
34,ball,1,2.5,Australia,RT Ponting,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
35,ball,1,2.6,Australia,RT Ponting,DA Warner,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
36,ball,1,3.1,Australia,RT Ponting,DA Warner,R Vinay Kumar,0.0,0.0,caught,RT Ponting,Australia_India,2012/02/12
37,ball,1,3.2,Australia,MJ Clarke,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
38,ball,1,3.3,Australia,MJ Clarke,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
39,ball,1,3.4,Australia,MJ Clarke,DA Warner,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/12
40,ball,1,3.5,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,1.0,,,Australia_India,2012/02/12
41,ball,1,3.6,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,1.0,,,Australia_India,2012/02/12
42,ball,1,3.7,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
43,ball,1,3.8,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
44,ball,1,4.1,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
45,ball,1,4.2,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
46,ball,1,4.3,Australia,MJ Clarke,DA Warner,Z Khan,4.0,0.0,,,Australia_India,2012/02/12
47,ball,1,4.4,Australia,MJ Clarke,DA Warner,Z Khan,4.0,0.0,,,Australia_India,2012/02/12
48,ball,1,4.5,Australia,MJ Clarke,DA Warner,Z Khan,2.0,0.0,,,Australia_India,2012/02/12
49,ball,1,4.6,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
50,ball,1,5.1,Australia,DA Warner,MJ Clarke,R Vinay Kumar,1.0,0.0,,,Australia_India,2012/02/12
51,ball,1,5.2,Australia,MJ Clarke,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
52,ball,1,5.3,Australia,MJ Clarke,DA Warner,R Vinay Kumar,2.0,0.0,,,Australia_India,2012/02/12
53,ball,1,5.4,Australia,MJ Clarke,DA Warner,R Vinay Kumar,4.0,0.0,,,Australia_India,2012/02/12
54,ball,1,5.5,Australia,MJ Clarke,DA Warner,R Vinay Kumar,4.0,0.0,,,Australia_India,2012/02/12
55,ball,1,5.6,Australia,MJ Clarke,DA Warner,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
56,ball,1,6.1,Australia,DA Warner,MJ Clarke,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
57,ball,1,6.2,Australia,DA Warner,MJ Clarke,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
58,ball,1,6.3,Australia,DA Warner,MJ Clarke,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
59,ball,1,6.4,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
60,ball,1,6.5,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
61,ball,1,6.6,Australia,MJ Clarke,DA Warner,Z Khan,4.0,0.0,,,Australia_India,2012/02/12
62,ball,1,7.1,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
63,ball,1,7.2,Australia,DA Warner,MJ Clarke,R Vinay Kumar,4.0,0.0,,,Australia_India,2012/02/12
64,ball,1,7.3,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
65,ball,1,7.4,Australia,DA Warner,MJ Clarke,R Vinay Kumar,4.0,0.0,,,Australia_India,2012/02/12
66,ball,1,7.5,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
67,ball,1,7.6,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
68,ball,1,8.1,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
69,ball,1,8.2,Australia,MJ Clarke,DA Warner,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
70,ball,1,8.3,Australia,MJ Clarke,DA Warner,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
71,ball,1,8.4,Australia,DA Warner,MJ Clarke,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
72,ball,1,8.5,Australia,DA Warner,MJ Clarke,Z Khan,0.0,0.0,,,Australia_India,2012/02/12
73,ball,1,8.6,Australia,DA Warner,MJ Clarke,Z Khan,1.0,0.0,,,Australia_India,2012/02/12
74,ball,1,9.1,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
75,ball,1,9.2,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
76,ball,1,9.3,Australia,DA Warner,MJ Clarke,R Vinay Kumar,0.0,0.0,run out,DA Warner,Australia_India,2012/02/12
77,ball,1,9.4,Australia,MJ Clarke,PJ Forrest,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
78,ball,1,9.5,Australia,MJ Clarke,PJ Forrest,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
79,ball,1,9.6,Australia,MJ Clarke,PJ Forrest,R Vinay Kumar,0.0,0.0,,,Australia_India,2012/02/12
80,ball,1,10.1,Australia,PJ Forrest,MJ Clarke,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
81,ball,1,10.2,Australia,MJ Clarke,PJ Forrest,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
82,ball,1,10.3,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
83,ball,1,10.4,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
84,ball,1,10.5,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
85,ball,1,10.6,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
86,ball,1,11.1,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
87,ball,1,11.2,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
88,ball,1,11.3,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
89,ball,1,11.4,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
90,ball,1,11.5,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
91,ball,1,11.6,Australia,MJ Clarke,PJ Forrest,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
92,ball,1,12.1,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
93,ball,1,12.2,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
94,ball,1,12.3,Australia,PJ Forrest,MJ Clarke,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
95,ball,1,12.4,Australia,MJ Clarke,PJ Forrest,RA Jadeja,2.0,0.0,,,Australia_India,2012/02/12
96,ball,1,12.5,Australia,MJ Clarke,PJ Forrest,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
97,ball,1,12.6,Australia,MJ Clarke,PJ Forrest,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
98,ball,1,13.1,Australia,MJ Clarke,PJ Forrest,UT Yadav,1.0,0.0,,,Australia_India,2012/02/12
99,ball,1,13.2,Australia,PJ Forrest,MJ Clarke,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
100,ball,1,13.3,Australia,PJ Forrest,MJ Clarke,UT Yadav,4.0,0.0,,,Australia_India,2012/02/12
101,ball,1,13.4,Australia,PJ Forrest,MJ Clarke,UT Yadav,0.0,0.0,,,Australia_India,2012/02/12
102,ball,1,13.5,Australia,PJ Forrest,MJ Clarke,UT Yadav,1.0,0.0,,,Australia_India,2012/02/12
103,ball,1,13.6,Australia,MJ Clarke,PJ Forrest,UT Yadav,2.0,0.0,,,Australia_India,2012/02/12
104,ball,1,14.1,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
105,ball,1,14.2,Australia,PJ Forrest,MJ Clarke,RA Jadeja,6.0,0.0,,,Australia_India,2012/02/12
106,ball,1,14.3,Australia,PJ Forrest,MJ Clarke,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
107,ball,1,14.4,Australia,MJ Clarke,PJ Forrest,RA Jadeja,1.0,0.0,,,Australia_India,2012/02/12
108,ball,1,14.5,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
109,ball,1,14.6,Australia,PJ Forrest,MJ Clarke,RA Jadeja,0.0,0.0,,,Australia_India,2012/02/12
110,ball,1,15.1,Australia,MJ Clarke,PJ Forrest,UT Yadav,1.0,0.0,,,Australia_India,2012/02/12
