,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
20,ball,1,0.2,Australia,SR Watson,SE Marsh,P Kumar,1.0,0.0,,,India_Australia,2009/11/02
21,ball,1,0.3,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
22,ball,1,0.4,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
23,ball,1,0.5,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
24,ball,1,0.6,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
25,ball,1,1.1,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/02
26,ball,1,1.2,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/02
27,ball,1,1.3,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/02
28,ball,1,1.4,Australia,SR Watson,SE Marsh,A Nehra,2.0,0.0,,,India_Australia,2009/11/02
29,ball,1,1.5,Australia,SR Watson,SE Marsh,A Nehra,0.0,0.0,,,India_Australia,2009/11/02
30,ball,1,1.6,Australia,SR Watson,SE Marsh,A Nehra,0.0,1.0,,,India_Australia,2009/11/02
31,ball,1,1.7,Australia,SR Watson,SE Marsh,A Nehra,1.0,0.0,,,India_Australia,2009/11/02
32,ball,1,2.1,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
33,ball,1,2.2,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
34,ball,1,2.3,Australia,SR Watson,SE Marsh,P Kumar,0.0,1.0,,,India_Australia,2009/11/02
35,ball,1,2.4,Australia,SR Watson,SE Marsh,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
36,ball,1,2.5,Australia,SR Watson,SE Marsh,P Kumar,4.0,0.0,,,India_Australia,2009/11/02
37,ball,1,2.6,Australia,SR Watson,SE Marsh,P Kumar,1.0,0.0,,,India_Australia,2009/11/02
38,ball,1,2.7,Australia,SE Marsh,SR Watson,P Kumar,0.0,0.0,,,India_Australia,2009/11/02
